"id" "reference_number" "species_number" "record" "passive_methods" "complementary_methods" "month_start" "year_start" "month_finish" "year_finish" "effort_months" "country" "state" "state_abbreviation" "municipality" "latitude" "longitude" "coordinate_precision" "altitude" "temperature" "precipitation"
"69" "amp1069" 1015 7 "ab" "pt" NA 1 2010 1 2011 12 "Brazil" "Pernambuco" "BR-PE" "Tamandaré" -8.733333333 -35.17388889 NA 67 24.04 1890
"70" "amp1070" 1015 8 "ab" "pt" NA 1 2010 1 2011 12 "Brazil" "Pernambuco" "BR-PE" "Tamandaré" -8.733611111 -35.17166667 NA 73 24.02 1865
"71" "amp1071" 1015 7 "ab" "pt" NA 1 2010 1 2011 12 "Brazil" "Pernambuco" "BR-PE" "Tamandaré" -8.735277778 -35.16722222 NA 73 24.02 1865
"72" "amp1072" 1016 15 "ab" NA NA 3 2008 12 2008 9 "Brazil" "Pernambuco" "BR-PE" "São Lourenço da Mata" -8.039444444 -35.19722222 "gms" 135 24.24 1131
"73" "amp1073" 1016 11 "ab" NA NA 4 2008 12 2008 8 "Brazil" "Pernambuco" "BR-PE" "São Lourenço da Mata" -8.036944444 -35.20027778 "gms" 169 24.05 1126
"74" "amp1074" 1017 37 "co" NA NA 11 2007 7 2008 8 "Brazil" "Pernambuco" "BR-PE" "Paulista" -7.909166667 -34.95805556 "gms" 96 24.47 1703
"75" "amp1075" 1018 19 "ab" "pt" NA 4 2007 10 2007 6 "Brazil" "Pernambuco" "BR-PE" "Barreiros" -8.818333333 -35.18638889 "gms" 31 24.33 1776
"76" "amp1076" 1019 15 "ab" "pt" NA 1 2004 10 2004 9 "Brazil" "Pernambuco" "BR-PE" "Nazaré da Mata" -7.733333333 -35.23333333 "gm" 78 24.79 1212
"77" "amp1077" 1020 41 "co" "pt" NA NA NA NA NA NA "Brazil" "Pernambuco" "BR-PE" "Dois Irmãos" -8.003611111 -34.94722222 "gms" 64 24.83 1581
"78" "amp1078" 1021 8 "co" "pt" "ae" 8 2012 9 2013 13 "Brazil" "Pernambuco" "BR-PE" "Lagoa dos Gatos" -8.693055556 -35.8575 "gms" 588 21.06 1100
"79" "amp1079" 1021 6 "co" "pt" "ae" 8 2012 9 2013 13 "Brazil" "Pernambuco" "BR-PE" "Lagoa dos Gatos" -8.696388889 -35.85472222 "gms" 588 21.06 1100
"80" "amp1080" 1021 16 "co" "pt" "ae" 8 2012 9 2013 13 "Brazil" "Pernambuco" "BR-PE" "Lagoa dos Gatos" -8.696666667 -35.85694444 "gms" 588 21.06 1100
